Ziekenhuis,Afkorting,Groep,Plaats,Provincie
"Admiraal de Ruijter,Admiraal de Ruyter",ADRZ,,"Goes,Vlissingen,Zierikzee",Zeeland
Albert Schweitzer,ASz,mProve,"Dordrecht,Zwijndrecht,Sliedrecht",Zuid-Holland
Alrijne,,,Leiden,Zuid-Holland
Amphia,,,Breda,Noord-Brabant
"Amsterdam UMC locatie AMC,Amsterdam UMC","AUMC-AMC,AMC",,"Amsterdam,Adam,A'dam",Noord-Holland
Amsterdam UMC locatie VUmc,"AUMC-Vumc,Vumc,VUMC",,"Amsterdam,Adam,A'dam",Noord-Holland
Anna Zorggroep,,,Geldrop,Noord-Brabant
Antonius,AZS,,Sneek,Friesland
Bernhoven,,,Uden,Noord-Brabant
BovenIJ,,,"Amsterdam,Adam,A'dam",Noord-Holland
Bravis,,,"Roosendaal,Bergen op Zoom",Noord-Brabant
Canisius-Wilhelmina,CWZ,Santeon,Nijmegen,Gelderland
Catharina,CZE,Santeon,Eindhoven,Noord-Brabant
Deventer,DZ,,Deventer,Overijssel
Diakonessenhuis,diak,,"Utrecht,Zeist,Doorn",Utrecht
Dijklander,DLZ,,"Purmerend,Hoorn",Noord-Holland
Elisabeth-TweeSteden,ETZ,,"Tilburg,Waalwijk",Noord-Brabant
Elkerliek,,,"Helmond,Deurne",Noord-Brabant
Erasmus MC,,,Rotterdam,Zuid-Holland
Flevo,,,Almere,Flevoland
Franciscus Gasthuis & Vlietland,,,"Rotterdam / Schiedam,Rotterdam,Schiedam",Zuid-Holland
Gelre ziekenhuizen,,,"Apeldoorn,Zutphen",Gelderland
Groene Hart,GHZ,,Gouda,Zuid-Holland
Haga,,,Den Haag,Zuid-Holland
HagaZiekenhuis Zoetermeer,,HagaZiekenhuis,Zoetermeer,Zuid-Holland
Haaglanden Medisch Centrum,HMC,,Den Haag,Zuid-Holland
IJsselland,YSL,,Capelle aan den IJssel,Zuid-Holland
Ikazia,,,Rotterdam,Zuid-Holland
Isala,,mProve,"Zwolle,Meppel",Overijssel
Jeroen Bosch,JBZ,mProve,"'s-Hertogenbosch,Den Bosch",Noord-Brabant
Laurentius,LZR,,Roermond,Limburg
Leids Universitair Medisch Centrum,LUMC,,Leiden,Zuid-Holland
Maasstad,,Santeon,Rotterdam,Zuid-Holland
"Maastricht UMC,Maastricht UMC+ (v.h. Academisch Maastricht),Academisch Ziekenhuis Maastricht","MUMC,MUMC+/azM,azM",,Maastricht,Limburg
Maasziekenhuis Pantein,,,Beugen,Noord-Brabant
Martini,,Santeon,Groningen,Groningen
Máxima MC,MMC,mProve,"Eindhoven / Veldhoven,Eindhoven,Veldhoven",Noord-Brabant
Meander Medisch Centrum,,,"Amersfoort,Baarn,Barneveld,Nijkerk,Leusden",Utrecht
Medisch Centrum Leeuwarden,MCL,,Leeuwarden en Harlingen,Friesland
Medisch Spectrum Twente,MST,Santeon,Enschede,Overijssel
Nij Smellinghe,,,Drachten,Friesland
"Noordwest Ziekenhuisgroep,Medisch Centrum Alkmaar","NWZ,MCA",mProve,"Alkmaar,Den Helder",Noord-Holland
"OLVG,OLVG Oost,OLVG oost,OLVG West,OLVG west,OLVG locatie oost,OLVG locatie Oost,OLVG locatie west,OLVG locatie West",,Santeon,"Amsterdam,Adam,A'dam",Noord-Holland
Ommelander Ziekenhuis Groningen,OZG,,Scheemda,Groningen
"Radboud UMC,Radboudumc,UMC St. Radboud,radboudMC,Radboud,Radboud Universitair Medisch Centrum","RUMC,UMCN",,Nijmegen,Gelderland
Reinier de Graaf Gasthuis,,,Delft,Zuid-Holland
Rijnstate,,mProve,"Arnhem,Elst,Zevenaar",Gelderland
"Rivas Zorggroep / Beatrix,Rivas Zorggroep,Beatrix",,,Gorinchem,Zuid-Holland
Rode Kruis,RKZ,,Beverwijk,Noord-Holland
Saxenburgh Medisch Centrum,,,Hardenberg,Overijssel
Sint Antonius,,,Woerden,Utrecht
Slingeland,,,Doetinchem,Gelderland
Spaarne Gasthuis,,,"Haarlem,Hoofddorp,Heemstede,H'lem",Noord-Holland
Spijkenisse Medisch Centrum,,,Spijkenisse,Zuid-Holland
St Jansdal,Jansdal,,"Harderwijk,Lelystad,Dronten","Gelderland,Flevoland"
"St. Antonius,Antonius",,Santeon,"Nieuwegein,Utrecht,Houten,De Meern,Sneek",Utrecht
St. Jans Gasthuis,,,Weert,Limburg
Streekziekenhuis Koningin Beatrix,SKB,,Winterswijk,Gelderland
Tergooi MC,,,Blaricum en Hilversum,Noord-Holland
Tjongerschans,,,Heerenveen,Friesland
Treant Zorggroep,,,"Hoogeveen,Stadskanaal,Emmen",Drenthe
UMC Utrecht,UMCU,,Utrecht,Utrecht
Universitair Medisch Centrum Groningen,UMCG,,Groningen,Groningen
Van Weel-Bethesda,,,Dirksland,Zuid-Holland
VieCuri Medisch Centrum,,,"Venlo,Venray",Limburg
Wilhelmina,WZA,,Assen,Drenthe
Zaans Medisch Centrum,ZMC,,Zaandam,Noord-Holland
Amstelland,,,Amstelveen,Noord-Holland
Gelderse Vallei,ZGV,,Ede,Gelderland
Groep Twente,ZGT,,"Almelo,Hengelo",Overijssel
Rivierenland,,,Tiel,Gelderland
ZorgSaam,,,Terneuzen,Zeeland
Zuyderland Medisch Centrum,,mProve,Heerlen en Sittard-Geleen,Limburg
Gemini,,,Den Helder,Noord-Holland
"Antoni van Leeuwenhoek,A. van Leeuwenhoek,NKI-A. v. Leeuwenhoek,A. v. Leeuwenhoek","AVL,AvL,NKI",,Amsterdam,Noord-Holland
PAMM Eindhoven,PAMM,,Eindhoven,Noord-Brabant
Symbiant,,,"Zaandam,Hoorn,Alkmaar",Noord-Holland
