id,smirks,sources
EVODEX.1-E1000,[#7:27](-[#6@:19])(-[#6](=[#8])-[#6@]1(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#7]-1-[H])-[H:62]>>[#7:27](-[#6@:19])(-[H:62])-[H],"EVODEX.1-P4615,EVODEX.1-P4620,EVODEX.1-P4746,EVODEX.1-P4781,EVODEX.1-P4806"
EVODEX.1-E1001,[#8]=[#6](-[#8]-[H])-[#6]1(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#7]-1-[#6:10](=[#8:11])-[#6:12]>>[#8](-[#6:10](=[#8:11])-[#6:12])-[H],"EVODEX.1-P4771,EVODEX.1-P4773,EVODEX.1-P4906,EVODEX.1-P5210,EVODEX.1-P5553"
EVODEX.1-E1002,[#6:7]-[#6:8](=[#8:9])-[#7](-[#6@@]1(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#8]-[#6]-1=[#8])-[H]>>[#6:7]-[#6:8](=[#8:9])-[#8]-[H],"EVODEX.1-P4144,EVODEX.1-P5835,EVODEX.1-P5836,EVODEX.1-P5838,EVODEX.1-P5840"
EVODEX.1-E1003,[#8]=[#6](-[#6](-[#7](-[#6](=[#8])-[#8]-[#6](-[#6]1:[#6](-[H]):[#6](-[H]):[#6](-[H]):[#6](-[H]):[#6]:1-[H])(-[H])-[H])-[H])(-[H])-[H])-[#7:16](-[#6@@:17])-[H:85]>>[#7:16](-[#6@@:17])(-[H:85])-[H],"EVODEX.1-P4861,EVODEX.1-P4887,EVODEX.1-P4893,EVODEX.1-P5219,EVODEX.1-P5220"
EVODEX.1-E1004,[#6](-[#6]1:[#7]:[#6](-[H]):[#6](-[#6](-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[H])(-[H])-[H]):[#6](-[#6](-[#7:14](-[#6:15])-[H:36])(-[H])-[H]):[#6]:1-[#8]-[H])(-[H])(-[H])-[H]>>[#7:14](-[#6:15])(-[H:36])-[H],"EVODEX.1-P1076,EVODEX.1-P1080,EVODEX.1-P1088,EVODEX.1-P1095,EVODEX.1-P1096"
EVODEX.1-E1005,[#7](-[#6@](-[#6](=[#8])-[#8]-[H])(-[#6@@:6](-[#8:7]-[H])(-[#6:8])-[H:23])-[H])(-[H])-[H]>>[#6:6](=[#8:7])(-[#6:8])-[H:23],"EVODEX.1-P6293,EVODEX.1-P6294,EVODEX.1-P6297,EVODEX.1-P6301,EVODEX.1-P6362"
EVODEX.1-E1008,[#7](-[#6](-[#6](=[#8])-[#7:5](-[#6@:6])-[H:78])(-[H])-[H])(-[H])-[H]>>[#7:5](-[#6@:6])(-[H:78])-[H],"EVODEX.1-P4590,EVODEX.1-P4622,EVODEX.1-P4660,EVODEX.1-P4867,EVODEX.1-P5184"
EVODEX.1-E1009,[#6:12]-[#7:13](-[#6@:9])-[#6](=[#8])-[#6](-[#7](-[H])-[H])(-[H])-[H]>>[#6:12]-[#7:13](-[#6@:9])-[H],"EVODEX.1-P4772,EVODEX.1-P4774,EVODEX.1-P4775,EVODEX.1-P4801,EVODEX.1-P4805"
EVODEX.1-E1010,[#6:42](-[#6@:40])(=[#8:43])-[#7](-[#6](-[#6](=[#8])-[#8]-[H])(-[H])-[H])-[H]>>[#6:42](-[#6@:40])(=[#8:43])-[#8]-[H],"EVODEX.1-P4168,EVODEX.1-P4612,EVODEX.1-P4796,EVODEX.1-P4885,EVODEX.1-P5613"
EVODEX.1-E1016,[#7:18](-[#6@:13])(-[#6](=[#8])-[#6@@](-[#7](-[H])-[H])(-[#6](-[#8]-[H])(-[H])-[H])-[H])-[H:47]>>[#7:18](-[#6@:13])(-[H:47])-[H],"EVODEX.1-P4601,EVODEX.1-P4617,EVODEX.1-P4699,EVODEX.1-P4790,EVODEX.1-P4810"
