Abbrev,ClassName,FormulaOveride
Aeg,Aegirine,
Aeng,Aenigmatite,
Ak,Akermanite,
And,Andalusite,
Ap,Apatite,
Chr,Chromite,
Coe,Coesite,
Crn,Corundum,
Crs,Cristobalite,
Fa,Fayalite,
Fo,Forsterite,
Gh,Gehlenite,
Hem,Hematite,
Ilm,Ilmenite,
Kls,Kalsilite,
Ky,Kyanite,
Lm,Lime,
Mag,Magnetite,
Ms,Muscovite,
Nph,Nepheline,
Per,Periclase,
Prv,Perovskite,
Phl,Phlogopite,
Qz,Quartz,
Rt,Rutile,
Sa,Sanidine,
Sil,Sillimanite,
Spn,Sphene,
Trd,Tridymite,
Wht,Whitlockite,
Ab,Albite,
hAb,High_Albite,
lAb,Low_Albite,
Alm,Almandine,
An,Anorthite,
Ath,Anthophyllite,
Atg,Antigorite,Mg48Si34O85(OH)62
Brc,Brucite,
CaTs,Ca_Al_Pyroxene,
Cal,Calcite,
Ctl,Chrysotile,
Clc,Clinochlore,
Crd,Cordierite,
Dsp,Diaspore,
Di,Diopside,
Dol,Dolomite,
cEn,Clinoenstatite,
En,Orthoenstatite,
pEn,Protoenstatite,
Fs,Ferrosilite,
Grs,Grossular,
Jd,Jadeite,
Kln,Kaolinite,
Lws,Lawsonite,
Mgs,Magnesite,
Mei,Meionite,
Mw,Merwinite,
Mtc,Monticellite,
Pg,Paragonite,
Or,Potassium_Feldspar,
Mc,Microcline,
Prh,Prehnite,
Prp,Pyrope,
Prl,Pyrophyllite,
Spl,Mg_Al_Spinel
Tlc,Talc,
Tr,Tremolite,
Wo,Wollastonite,
pWo,Pseudowollastonite,
Zo,Zoisite,
cZo,Clinozoisite,
O2,Oxygen_Gas,
S2,Sulfur_Gas,
H2,Hydrogen_Gas,
