key	name	w2ssp	w2ssgw	phreeqc_name	molar_weight	rate_name
tra	tracer	trassp	void	void	void	void
ss	suspended_solids	void	void	void	void	void
col	coliform	void	void	void	void	void
tds	dissolved_solids	void	void	void	void	void
ldom	labile_dom	ldomssp	ldomssgw	void	3288.2576	Doed
rdom	refractory_dom	void	void	void	void	void
algae	algae	void	void	void	3288.2576	void
lpom	labile_pom	void	void	void		void
po4	phosphorus	po4ssp	po4ssgw	P	30.9738	void
nh4	ammonium	nh4ssp	nh4ssgw	Amm	14.0067	 Amm
no3	nitrate_nitrite	no3ssp	no3ssgw	N(+5)	14.0067	 Nit
dox	dissolved_oxygen	dossp	dossgw	O(0)	15.994	void
sed	sediment	void	void	void	void	void
tic	inorganic_carbon	ticssp	ticssgw	C	12.0111	void
alkal	alkalinity	void	void	void	void	void
ph	ph	void	void	pH	void	void
co2	carbon_dioxide	void	void	HCO3	12.0111	void
hco3	bicarbonate	void	void	void	void	void
co3	carbonate	void	void	C	12.0111	void
fe	iron_II	fessp	fessgw	Fe(+2)	55.847	Fe_di
cbod	cbod	void	void	void	void	void
al	aluminium	alssp	alssgw	Al	26.9815	void
so4	sulfate	so4ssp	so4ssgw	Sulfat	96.064	Sulfat
ca	calcium	cassp	cassgw	Ca	40.08	void
mg	magnesium	mgssp	mgssgw	Mg	24.312	void
na	sodium	nassp	nassgw	Na	22.9898	void
ka	potassium	kassp	kassgw	K	39.102	void
mn	manganese_II	mnssp	mnssgw	Mn(+2)	54.938	Mn_di
cl	chlorid	clssp	clssgw	Cl	35.453	void
fe3	iron_III	fe3ssp	fe3ssgw	Fe(+3)	55.847	Fe_tri
mn3	manganese_III	mn3ssp	mn3ssgw	Mn(+3)	54.938	Mn_tri
sid	sulfide	sidssp	sidssgw	Sulfid	33.072	Sulfid
ch4	methane	ch4ssp	ch4ssgw	N/A	16.043	CH4
cd	cadmium	cdssp	cdssgw	Cd	112.4	void
pb	lead	pbssp	pcssgw	Pb	207.19	void
zn	zinc	znssp	znssgw	Zn	65.37	void
ars	arsenic	arsssp	arsssgw	As	74.9216	void
co	cobalt	auto	auto	Co	58.9332	void
hg	mercury	auto	auto	Hg	200.59	void
arg	silver	auto	auto	Ag	107.868	void
cr	chromium	auto	auto	Cr	51.996	void
cu	copper	auto	auto	Cu	63.546	void
mo	 molybdenum	auto	auto	Mo	95.94	void
ni	nickel	auto	auto	Ni	58.69	void
se	selenium	auto	auto	Se	78.96	void
tl	thallium	auto	auto	Tl	204.383	void
ur	uranium	auto	auto	U	238.029	void
sb	antimony	auto	auto	Sb	121.75	void
ba	barium	auto	auto	Ba 137.3270	void
be	beryllium	auto	auto	Be	9.0122	void
#Bi	bismuth	Bi no data in any PHREEQC databases found
bor	boron	auto	auto	B	10.811	void
sr	strontium	auto	auto	Sr	87.62	void
sn	tin	auto	auto	Sn	118.71	void
ti	titanium	auto	auto	Ti	47.88	void
van	vanadium	auto	auto	V	50.9415	void
li	lithium	auto	auto	Li	6.9410	void
si	silicon	auto	auto	Si	28.0855	void
