User,Epsilon,Maximun Error,Execution time
S12 POSTEST 1,12.9,84.59,390.5837
S02 post,6.2,4.17,250.323
S19 POST PARTE1,12.3,2.43,499.2606
S01post,12.8,3.51,645.2978
S14 POST PARTE 1,9.1,4.37,315.2694
s25 post parte1,11.4,4.01,184.2526
S07 POST PARTE1,12.7,3.09,233.4253
S09 POST PARTE 1,10.0,3.01,266.4897
s21 post1,10.0,3.81,280.0802
S23 POST 1,8.4,3.96,588.5705
S11 POST,8.5,4.86,43.3643
s13 post parte,8.7,4.11,95.8013
S04Post,9.2,3.36,436.8245
S05 post parte 1,13.9,2.03,2822.3922
S06 DIA 2 PARTE 1,12.3,3.44,376.808
S08 POST PARTE 1,12.5,4.63,232.1284
S24 POST PARTE1,16.0,3.39,171.7945
s18 post parte1,6.3,42.98,418.8114
S16 POST PARTE 1,8.3,3.54,414.8123
S03 Post,13.3,4.51,126.1345
