"Leaves_number","Diameter","Mass","Density","Area"
13.65,9.07,0.61845,0.068083704,21.25082747
13.85,9.14,0.59065,0.064343694,19.49078604
15.5,9.95,0.7348,0.073385535,21.58460659
21.63,7.4,0.7695,0.103698916,19.92301581
22.69,6.31,0.584625,0.091670995,16.13497329
25.22,8.14,1.005777778,0.122211658,24.46497289
23.05,11.81,0.845761905,0.071194467,31.18780873
23.71,11.81,0.817190476,0.068772537,31.48211341
24.43,12.4,1.034285714,0.083306112,37.64254445
29.2,8.1,0.858733333,0.104686835,26.9321477
29.24,8.14,0.832529412,0.100118442,24.83098237
32.24,9.18,1.098285714,0.119223136,32.67379692
20.57,10.52,0.687380952,0.06500688,24.5278729
19.43,10.21,0.748571429,0.072963175,24.56289533
19,10.64,0.768238095,0.072293915,24.56131129
27.89,7.76,0.978421053,0.125374853,27.41297532
26.88,7.21,0.794375,0.109560655,24.62224332
25.52,7.9,0.960714286,0.120664838,27.49199218
20.57,10.03,0.742571429,0.073504704,25.11400154
19.72,10.35,0.757277778,0.07295198,26.30812415
19.48,9.7,0.623333333,0.064227474,22.69271151
30.05,7.76,0.955047619,0.122388468,28.22800442
27.47,7.68,0.925,0.119530286,27.09124577
29.44,9.01,0.930722222,0.102049609,30.58683677
14.43,9.1,0.517238095,0.056279458,26.21571249
14.82,9.07,0.511636364,0.056465761,20.02835213
15.18,8.8,0.504818182,0.057174043,22.46980953
23.33,8.17,0.706988889,0.085567339,20.27000074
23.18,8.25,0.727090909,0.087580983,20.22718737
23.11,7.75,0.655166667,0.083766706,26.16867955
