Abbrev,ClassName,FormulaOveride
Ak,Akermanite,
Alm,Almandine,
And,Andalusite,
Adr,Andradite,
Chu,Clinohumite,
cZo,Clinozoisite,
Crd,Cordierite,
Ep,Epidote,
Fa,Fayalite,
FeCtd,Fe_Chloritoid,
FeCrd,Fe_Cordierite,
FeEp,Fe_Epidote,
FeOsm,Fe_Osumilite,
FeSt,Fe_Staurolite,
Fo,Forsterite,
Gh,Gehlenite,
Grs,Grossular,
Hcrd,Hydrous_Cordierite,
Tpz,Hydroxy_Topaz,
Ky,Kyanite,
Lrn,Larnite_Bredigite,
Lws,Lawsonite,
Mw,Merwinite,
MgCtd,Mg_Chloritoid,
MgSt,Mg_Staurolite,
MnCtd,Mn_Chloritoid,
MnCrd,Mn_Cordierite,
MnSt,Mn_Staurolite,
Mtc,Monticellite,
Osm1,Osumilite_1,
Osm2,Osumilite_2,
PhA,Phase_A,
Pmp,Pumpellyite,
Prp,Pyrope,
Rnk,Rankinite,
Sil,Sillimanite,
Sps,Spessartine,
Ttn,Sphene,
Spu,Spurrite,
Tep,Tephroite,
Tly,Tilleyite,
Ves,Vesuvianite,
Zrn,Zircon,
Zo,Zoisite,
Acm,Acmite,
CaTs,Ca_Tschermak_Pyroxene,
Di,Diopside,
En,Enstatite,
Fs,Ferrosilite,
Hd,Hedenbergite,
Jd,Jadeite,
MgTs,Mg_Tschermak_Pyroxene,
pWo,Pseudowollastonite,
Pxm,Pyroxmangite,
Rdn,Rhodonite,
Wo,Wollastonite,
Ath,Anthophyllite,
Cum,Cummingtonite,
FeAth,Fe_Anthophyllite,
FeGl,Fe_Glaucophane,
FeAc,Ferroactinolite,
Ged,Gedrite,
Gln,Glaucophane,
Gru,Grunerite,
Prg,Pargasite,
Rbk,Riebeckite,
Tr,Tremolite,
Ts,Tschermakite,
Dee,Deerite,
FeCar,Fe_Carpholite,
FeSpr,Fe_Sapphirine,
MgCar,Mg_Carpholite,
Spr4,Sapphirine_442,
Spr7,Sapphirine_793,
Ann,Annite,
Cel,Celadonite,
Eas,Eastonite,
FeCel,Fe_Celadonite,
Mrg,Margarite,
MnBt,Mn_Biotite,
Ms,Muscovite,
NaPhl,Na_Phlogopite,
Pg,Paragonite,
Phl,Phlogopite,
Afchl,Al_Free_Chlorite,
Ame,Amesite,
Clc,Clinochlore,
Dph,Daphnite,
FeSud,Fe_Sudoite,
MnChl,Mn_Chlorite,
Sud,Sudoite,
Atg,Antigorite,
Ctl,Chrysotile,
FeTlc,Fe_Talc,
Kln,Kaolinite,
Prh,Prehnite,
Prl,Pyrophyllite,
Tlc,Talc,
TsTlc,Tschermak_Talc,
Ab,Albite,
Anl,Analcite,
An,Anorthite,
Coe,Coesite,
Crs,Cristobalite,
Hul,Heulandite,
hAb,High_Albite,
Kls,Kalsilite,
Lmt,Laumontite,
Lct,Leucite,
Mei,Meionite,
Mc,Microcline,
Nph,Nepheline,
Qz,Quartz,
Sa,Sanidine,
Stb,Stilbite,
Sti,Stishovite,
Trd,Tridymite,
Wrk,Wairakite,
Bdy,Baddeleyite,
Crn,Corundum,
Gk,Geikielite,
Hem,Hematite,
Hc,Hercynite,
Ilm,Ilmenite,
Lm,Lime,
Mfr,Magnesioferrite,
Mag,Magnetite,
Mng,Manganosite,
NiO,Nickel_Oxide,
Per,Periclase,
Pph,Pyrophanite,
Rt,Rutile,
Spl,Spinel,
Usp,Ulvospinel,
Brc,Brucite,
Dsp,Diaspore,
Gth,Goethite,
Ank,Ankerite,
Arg,Aragonite,
Cal,Calcite,
Dol,Dolomite,
Mgs,Magnesite,
Rhs,Rhodochrosite,
Sd,Siderite,
Hl,Halite,
Syl,Sylvite,
Dia,Diamond,
Gr,Graphite,
Fe,Iron,
Ni,Nickel,
CO2,Carbon_Dioxide,
CO,Carbon_Monoxide,
H2,Hydrogen,
CH4,Methane,
O2,Oxygen,
H2O,Water_Fluid,
AbL,Albite_Liquid,
AnL,Anorthite_Liquid,
DiL,Diopside_Liquid,
EnL,Enstatite_Liquid,
FaL,Fayalite_Liquid,
FoL,Forsterite_Liquid,
H2oL,H2O_Liquid,
HlL,Halite_Liquid,
SaL,K_Feldspar_Liquid,
QzL,Silica_Liquid,
SilL,Sillimanite_Liquid,
SylL,Sylvite_Liquid,
