"Mass","Diameter","Length","Number_lateral_stems"
0.2491,1.165862332,14.025,4
0.38475,1.157,17.765,4
0.36295,1.1815,17.75,4.2
0.0931,1.075,6.525,6.375
0.138611111,1.286666667,8.055555556,6.055555556
0.1695,1.204,10.85,6.65
0.258266667,1.353333333,12.76666667,5.466666667
0.311277778,1.371666667,13.69444444,5.944444444
0.2596875,1.314375,12.875,7.8125
0.2164375,1.313125,9.5,8.5625
0.2193125,1.359375,7.875,8.375
0.22885,1.3095,7.6,8.3
0.3923,1.2,16.3,6.4
0.341,1.167894737,14.31578947,5.631578947
0.465368421,1.341578947,17.47368421,6.526315789
0.13415,1.1655,6.225,8.45
0.145058824,1.235882353,5.264705882,7.941176471
0.132842105,1.325263158,6.215789474,7.894736842
0.1683125,1.109375,13.375,12.4375
0.1455,1.136,9.55,11.8
0.18375,1.105,13.15625,10.6875
0.194611111,1.33,9.861111111,7.833333333
0.27655,1.3785,15.175,8.4
0.387058824,1.495294118,17.38235294,8.823529412
0.224285714,1.29,14.32142857,7.285714286
0.208,1.286666667,13.56666667,7.6
0.236266667,1.321333333,15.13333333,7.666666667
0.177666667,1.3025,10.25,9
0.179,1.321818182,11.31818182,9.727272727
0.172384615,1.310769231,11,9.615384615
